X,Y,station,latitude,longitude,iphc_area,lbs_t_1998,cnt_t_1998,lbs_o32in_1998,a_lbs_o32_1998,t_avg_lbs_1998,pct_t_o32_1998,pct_bin_1998,lbs_t_1999,cnt_t_1999,lbs_o32in_1999,a_lbs_o32_1999,t_avg_lbs_1999,pct_t_o32_1999,pct_bin_1999,lbs_t_2000,cnt_t_2000,lbs_o32in_2000,a_lbs_o32_2000,t_avg_lbs_2000,pct_t_o32_2000,pct_bin_2000,lbs_t_2001,cnt_t_2001,lbs_o32in_2001,a_lbs_o32_2001,t_avg_lbs_2001,pct_t_o32_2001,pct_bin_2001,lbs_t_2002,cnt_t_2002,lbs_o32in_2002,a_lbs_o32_2002,t_avg_lbs_2002,pct_t_o32_2002,pct_bin_2002,lbs_t_2003,cnt_t_2003,lbs_o32in_2003,a_lbs_o32_2003,t_avg_lbs_2003,pct_t_o32_2003,pct_bin_2003,lbs_t_2004,cnt_t_2004,lbs_o32in_2004,a_lbs_o32_2004,t_avg_lbs_2004,pct_t_o32_2004,pct_bin_2004,lbs_t_2005,cnt_t_2005,lbs_o32in_2005,a_lbs_o32_2005,t_avg_lbs_2005,pct_t_o32_2005,pct_bin_2005,lbs_t_2006,cnt_t_2006,lbs_o32in_2006,a_lbs_o32_2006,t_avg_lbs_2006,pct_t_o32_2006,pct_bin_2006,lbs_t_2007,cnt_t_2007,lbs_o32in_2007,a_lbs_o32_2007,t_avg_lbs_2007,pct_t_o32_2007,pct_bin_2007,lbs_t_2008,cnt_t_2008,lbs_o32in_2008,a_lbs_o32_2008,t_avg_lbs_2008,pct_t_o32_2008,pct_bin_2008,lbs_t_2009,cnt_t_2009,lbs_o32in_2009,a_lbs_o32_2009,t_avg_lbs_2009,pct_t_o32_2009,pct_bin_2009,lbs_t_2010,cnt_t_2010,lbs_o32in_2010,a_lbs_o32_2010,t_avg_lbs_2010,pct_t_o32_2010,pct_bin_2010,lbs_t_2011,cnt_t_2011,lbs_o32in_2011,a_lbs_o32_2011,t_avg_lbs_2011,pct_t_o32_2011,pct_bin_2011,lbs_t_2012,cnt_t_2012,lbs_o32in_2012,a_lbs_o32_2012,t_avg_lbs_2012,pct_t_o32_2012,pct_bin_2012,lbs_t_2013,cnt_t_2013,lbs_o32in_2013,a_lbs_o32_2013,t_avg_lbs_2013,pct_t_o32_2013,pct_bin_2013,lbs_t_2014,cnt_t_2014,lbs_o32in_2014,a_lbs_o32_2014,t_avg_lbs_2014,pct_t_o32_2014,pct_bin_2014,lbs_t_2015,cnt_t_2015,lbs_o32in_2015,a_lbs_o32_2015,t_avg_lbs_2015,pct_t_o32_2015,pct_bin_2015
-124.6668333,43.66665625,1015,43.66665625,-124.6668333,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,111,3,111,37,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,1,12,12,0,100,5,53,2,53,27,0,100,5,0,0,0,0,0,0,1,15,1,15,15,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-124.2003333,44.16677083,1021,44.16677083,-124.2003333,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51,2,51,26,0,100,5,20,1,20,20,0,100,5,35,1,35,35,0,100,5,0,0,0,0,0,0,1,94,4,76,38,47,50,3,0,0,0,0,0,0,1
-124.4331875,44.16598958,1022,44.16598958,-124.4331875,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,27,2,27,14,0,100,5,12,1,12,12,0,100,5,249,12,227,25,33,75,4,54,3,44,22,32,67,4,15,1,15,15,0,100,5,45,3,45,15,0,100,5
-124.2005312,44.33427083,1025,44.33427083,-124.2005312,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24,2,14,14,24,50,3,106,5,106,21,0,100,5,124,4,124,31,0,100,5,0,0,0,0,0,0,1,31,1,31,31,0,100,5,0,0,0,0,0,0,1
-124.1839896,44.66617708,1030,44.66617708,-124.1839896,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60,3,54,27,33,67,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,47,4,29,15,24,50,3,24,1,24,24,0,100,5,0,0,0,0,0,0,1,232,11,222,22,32,91,5,16,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,396,21,370,21,29,86,5
-124.8954167,44.6654375,1033,44.6654375,-124.8954167,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-124.6503229,44.99920833,1039,44.99920833,-124.6503229,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,1,15,15,0,100,5,32,2,21,21,32,50,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-124.4169479,45.16584375,1041,45.16584375,-124.4169479,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,1,18,18,0,100,5
-124.6488229,45.33326042,1044,45.33326042,-124.6488229,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-124.6502917,45.49867708,1047,45.49867708,-124.6502917,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,1,15,15,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
